NPS,Outside_Diameter,10,20,30,STD,40,60,XS,80,100,120,140,160,XXS
1/8",0.405,,,,0.068,0.068,,0.095,0.095,,,,,
1/4",0.540,,,,0.088,0.088,,0.119,0.119,,,,,
3/8",0.675,,,,0.091,0.091,,0.126,0.126,,,,,
1/2",0.840,,,,0.109,0.109,,0.147,0.147,,,,0.187,0.294
3/4",1.050,,,,0.113,0.113,,0.154,0.154,,,,0.219,0.308
1",1.315,,,,0.133,0.133,,0.179,0.179,,,,0.250,0.358
1 1/4",1.660,,,,0.140,0.140,,0.191,0.191,,,,0.250,0.382
1 1/2",1.900,,,,0.145,0.145,,0.200,0.200,,,,0.281,0.400
2",2.375,,,,0.154,0.154,,0.218,0.218,,,,0.344,0.436
2 1/2",2.875,,,,0.203,0.203,,0.276,0.276,,,,0.375,0.552
3",3.500,,,,0.216,0.216,,0.300,0.300,,,,0.438,0.600
3 1/2",4.000,,,,0.226,0.226,,0.318,0.318,,,,,
4",4.500,,,,0.237,0.237,,0.337,0.337,,0.438,,0.531,0.674
5",5.563,,,,0.258,0.258,,0.375,0.375,,0.500,,0.625,0.750
6",6.625,,,,0.280,0.280,,0.432,0.432,,0.562,,0.719,0.864
8",8.625,,0.250,0.277,0.322,0.322,0.406,0.500,0.500,0.594,0.719,0.812,0.906,0.875
10",10.750,,0.250,0.307,0.365,0.365,0.500,0.500,0.594,0.719,0.844,1.000,1.125,1.000
12",12.750,,0.250,0.330,0.375,0.406,0.562,0.500,0.688,0.844,1.000,1.125,1.312,1.000
14",14.000,0.250,0.312,0.375,0.375,0.438,0.594,0.500,0.750,0.938,1.094,1.250,1.406,
16",16.000,0.250,0.312,0.375,0.375,0.500,0.656,0.500,0.844,1.031,1.219,1.438,1.594,
18",18.000,0.250,0.312,0.438,0.375,0.562,0.750,0.500,0.938,1.156,1.375,1.562,1.781,
20",20.000,0.250,0.375,0.500,0.375,0.594,0.812,0.500,1.031,1.281,1.500,1.750,1.969,
22",22.000,0.250,0.375,0.500,0.375,,0.875,0.500,1.125,1.375,1.625,1.875,2.125,
24",24.000,0.250,0.375,0.562,0.375,0.688,0.969,0.500,1.219,1.531,1.812,2.062,2.344,
30",30.000,0.312,0.500,0.625,0.375,,0.500,,,,,,,
32",32.000,0.312,0.500,0.625,0.375,0.688,,,,,,,,
34",34.000,0.312,0.500,0.625,0.375,0.688,,,,,,,,
36",36.000,0.312,0.500,0.625,0.375,0.750,,,,,,,,
42",42.000,,0.500,0.625,0.375,0.750,,,,,,,,